Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4], dropout=0.5
Epoch 1350 | Train Loss: 0.9819 | Train Acc: 0.6342 | Val Loss: 1.3428 | Val Acc: 0.5415
Epoch 1375 | Train Loss: 0.9599 | Train Acc: 0.6494 | Val Loss: 1.3437 | Val Acc: 0.5415
Epoch 1400 | Train Loss: 0.9592 | Train Acc: 0.6294 | Val Loss: 1.3433 | Val Acc: 0.5427
Epoch 1425 | Train Loss: 0.9590 | Train Acc: 0.6342 | Val Loss: 1.3469 | Val Acc: 0.5457
Epoch 1450 | Train Loss: 0.9525 | Train Acc: 0.6258 | Val Loss: 1.3476 | Val Acc: 0.5391
Epoch 1475 | Train Loss: 0.9443 | Train Acc: 0.6502 | Val Loss: 1.3481 | Val Acc: 0.5493
Epoch 1500 | Train Loss: 0.9366 | Train Acc: 0.6514 | Val Loss: 1.3521 | Val Acc: 0.5475
Epoch 1525 | Train Loss: 0.9399 | Train Acc: 0.6567 | Val Loss: 1.3504 | Val Acc: 0.5505
Epoch 1550 | Train Loss: 0.9349 | Train Acc: 0.6478 | Val Loss: 1.3544 | Val Acc: 0.5541
Epoch 1575 | Train Loss: 0.9309 | Train Acc: 0.6567 | Val Loss: 1.3559 | Val Acc: 0.5523
Epoch 1600 | Train Loss: 0.9441 | Train Acc: 0.6450 | Val Loss: 1.3549 | Val Acc: 0.5565
Epoch 1625 | Train Loss: 0.9211 | Train Acc: 0.6671 | Val Loss: 1.3564 | Val Acc: 0.5571
Epoch 1650 | Train Loss: 0.9150 | Train Acc: 0.6550 | Val Loss: 1.3596 | Val Acc: 0.5547
Epoch 1675 | Train Loss: 0.9270 | Train Acc: 0.6587 | Val Loss: 1.3596 | Val Acc: 0.5553
Epoch 1700 | Train Loss: 0.9041 | Train Acc: 0.6510 | Val Loss: 1.3613 | Val Acc: 0.5529
Epoch 1725 | Train Loss: 0.9241 | Train Acc: 0.6651 | Val Loss: 1.3653 | Val Acc: 0.5571
Epoch 1750 | Train Loss: 0.8961 | Train Acc: 0.6558 | Val Loss: 1.3654 | Val Acc: 0.5667
Epoch 1775 | Train Loss: 0.9104 | Train Acc: 0.6591 | Val Loss: 1.3682 | Val Acc: 0.5613
Epoch 1800 | Train Loss: 0.9045 | Train Acc: 0.6619 | Val Loss: 1.3718 | Val Acc: 0.5601
Epoch 1825 | Train Loss: 0.9025 | Train Acc: 0.6727 | Val Loss: 1.3718 | Val Acc: 0.5637
Epoch 1850 | Train Loss: 0.8985 | Train Acc: 0.6506 | Val Loss: 1.3726 | Val Acc: 0.5643
Epoch 1875 | Train Loss: 0.8743 | Train Acc: 0.6747 | Val Loss: 1.3723 | Val Acc: 0.5619
Epoch 1900 | Train Loss: 0.8708 | Train Acc: 0.6687 | Val Loss: 1.3762 | Val Acc: 0.5673
Epoch 1925 | Train Loss: 0.8885 | Train Acc: 0.6627 | Val Loss: 1.3764 | Val Acc: 0.5661
Epoch 1950 | Train Loss: 0.8786 | Train Acc: 0.6655 | Val Loss: 1.3786 | Val Acc: 0.5691
Epoch 1975 | Train Loss: 0.8754 | Train Acc: 0.6779 | Val Loss: 1.3841 | Val Acc: 0.5679
Epoch 2000 | Train Loss: 0.8968 | Train Acc: 0.6538 | Val Loss: 1.3871 | Val Acc: 0.5703
Epoch 2025 | Train Loss: 0.8740 | Train Acc: 0.6787 | Val Loss: 1.3896 | Val Acc: 0.5709
Epoch 2050 | Train Loss: 0.8831 | Train Acc: 0.6627 | Val Loss: 1.3884 | Val Acc: 0.5769
Epoch 2075 | Train Loss: 0.8595 | Train Acc: 0.6735 | Val Loss: 1.3935 | Val Acc: 0.5733
Epoch 2100 | Train Loss: 0.8752 | Train Acc: 0.6550 | Val Loss: 1.3952 | Val Acc: 0.5739
Epoch 2125 | Train Loss: 0.8671 | Train Acc: 0.6799 | Val Loss: 1.3964 | Val Acc: 0.5751
Epoch 2150 | Train Loss: 0.8685 | Train Acc: 0.6807 | Val Loss: 1.3983 | Val Acc: 0.5727
Epoch 2175 | Train Loss: 0.8593 | Train Acc: 0.6663 | Val Loss: 1.4031 | Val Acc: 0.5769
Epoch 2200 | Train Loss: 0.8449 | Train Acc: 0.6763 | Val Loss: 1.4047 | Val Acc: 0.5829
Epoch 2225 | Train Loss: 0.8496 | Train Acc: 0.6755 | Val Loss: 1.4052 | Val Acc: 0.5793
Epoch 2250 | Train Loss: 0.8322 | Train Acc: 0.6891 | Val Loss: 1.4101 | Val Acc: 0.5817
Epoch 2275 | Train Loss: 0.8442 | Train Acc: 0.6863 | Val Loss: 1.4090 | Val Acc: 0.5751
Epoch 2300 | Train Loss: 0.8404 | Train Acc: 0.7023 | Val Loss: 1.4124 | Val Acc: 0.5829
Epoch 2325 | Train Loss: 0.8439 | Train Acc: 0.6915 | Val Loss: 1.4172 | Val Acc: 0.5769
Epoch 2350 | Train Loss: 0.8386 | Train Acc: 0.6795 | Val Loss: 1.4139 | Val Acc: 0.5877
Epoch 2375 | Train Loss: 0.8373 | Train Acc: 0.6851 | Val Loss: 1.4212 | Val Acc: 0.5775
Epoch 2400 | Train Loss: 0.8400 | Train Acc: 0.6783 | Val Loss: 1.4194 | Val Acc: 0.5859
Epoch 2425 | Train Loss: 0.8558 | Train Acc: 0.6659 | Val Loss: 1.4263 | Val Acc: 0.5871
Epoch 2450 | Train Loss: 0.8347 | Train Acc: 0.6915 | Val Loss: 1.4292 | Val Acc: 0.5841
Epoch 2475 | Train Loss: 0.8144 | Train Acc: 0.7011 | Val Loss: 1.4278 | Val Acc: 0.5901
Epoch 2500 | Train Loss: 0.8309 | Train Acc: 0.7003 | Val Loss: 1.4332 | Val Acc: 0.5817
Test Loss: 1.4817 | Test Accuracy: 0.5869
Training model with 2 layers, lr=0.001, hidden_dim=32, num_heads=[4], dropout=0.5
Epoch 25 | Train Loss: 1.5824 | Train Acc: 0.3129 | Val Loss: 1.5910 | Val Acc: 0.2825
Epoch 50 | Train Loss: 1.5452 | Train Acc: 0.3233 | Val Loss: 1.5683 | Val Acc: 0.3113
Epoch 75 | Train Loss: 1.5021 | Train Acc: 0.3838 | Val Loss: 1.5440 | Val Acc: 0.3480
Epoch 100 | Train Loss: 1.4621 | Train Acc: 0.4279 | Val Loss: 1.5207 | Val Acc: 0.3900
Epoch 125 | Train Loss: 1.4254 | Train Acc: 0.4519 | Val Loss: 1.5000 | Val Acc: 0.3984
Epoch 150 | Train Loss: 1.3881 | Train Acc: 0.4683 | Val Loss: 1.4816 | Val Acc: 0.4141
Epoch 175 | Train Loss: 1.3651 | Train Acc: 0.4708 | Val Loss: 1.4652 | Val Acc: 0.4285
Epoch 200 | Train Loss: 1.3370 | Train Acc: 0.4956 | Val Loss: 1.4502 | Val Acc: 0.4297
Epoch 225 | Train Loss: 1.3038 | Train Acc: 0.4952 | Val Loss: 1.4377 | Val Acc: 0.4339
Epoch 250 | Train Loss: 1.2789 | Train Acc: 0.5068 | Val Loss: 1.4270 | Val Acc: 0.4453
Epoch 275 | Train Loss: 1.2548 | Train Acc: 0.5200 | Val Loss: 1.4168 | Val Acc: 0.4483
Epoch 300 | Train Loss: 1.2298 | Train Acc: 0.5505 | Val Loss: 1.4077 | Val Acc: 0.4591
Epoch 325 | Train Loss: 1.2013 | Train Acc: 0.5413 | Val Loss: 1.4005 | Val Acc: 0.4621
Epoch 350 | Train Loss: 1.1815 | Train Acc: 0.5597 | Val Loss: 1.3939 | Val Acc: 0.4621
Epoch 375 | Train Loss: 1.1577 | Train Acc: 0.5461 | Val Loss: 1.3882 | Val Acc: 0.4688
Epoch 400 | Train Loss: 1.1384 | Train Acc: 0.5649 | Val Loss: 1.3826 | Val Acc: 0.4694
Epoch 425 | Train Loss: 1.1355 | Train Acc: 0.5737 | Val Loss: 1.3791 | Val Acc: 0.4754
Epoch 450 | Train Loss: 1.1127 | Train Acc: 0.5873 | Val Loss: 1.3746 | Val Acc: 0.4820
Epoch 475 | Train Loss: 1.0994 | Train Acc: 0.5841 | Val Loss: 1.3709 | Val Acc: 0.4910
Epoch 500 | Train Loss: 1.0848 | Train Acc: 0.5897 | Val Loss: 1.3682 | Val Acc: 0.4970
Epoch 525 | Train Loss: 1.0659 | Train Acc: 0.6082 | Val Loss: 1.3665 | Val Acc: 0.5042
Epoch 550 | Train Loss: 1.0565 | Train Acc: 0.6054 | Val Loss: 1.3655 | Val Acc: 0.5084
Epoch 575 | Train Loss: 1.0424 | Train Acc: 0.6178 | Val Loss: 1.3632 | Val Acc: 0.5084
Epoch 600 | Train Loss: 1.0265 | Train Acc: 0.6394 | Val Loss: 1.3643 | Val Acc: 0.5186
Epoch 625 | Train Loss: 1.0186 | Train Acc: 0.6266 | Val Loss: 1.3620 | Val Acc: 0.5222
