Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4, 8, 16], dropout=0.5
Epoch 1350 | Train Loss: 0.9556 | Train Acc: 0.6438 | Val Loss: 1.3500 | Val Acc: 0.5361
Epoch 1375 | Train Loss: 0.9349 | Train Acc: 0.6382 | Val Loss: 1.3547 | Val Acc: 0.5403
Epoch 1400 | Train Loss: 0.9375 | Train Acc: 0.6474 | Val Loss: 1.3551 | Val Acc: 0.5403
Epoch 1425 | Train Loss: 0.9275 | Train Acc: 0.6611 | Val Loss: 1.3559 | Val Acc: 0.5475
Epoch 1450 | Train Loss: 0.9300 | Train Acc: 0.6494 | Val Loss: 1.3557 | Val Acc: 0.5439
Epoch 1475 | Train Loss: 0.9162 | Train Acc: 0.6442 | Val Loss: 1.3561 | Val Acc: 0.5439
Epoch 1500 | Train Loss: 0.9123 | Train Acc: 0.6827 | Val Loss: 1.3602 | Val Acc: 0.5511
Epoch 1525 | Train Loss: 0.9146 | Train Acc: 0.6502 | Val Loss: 1.3627 | Val Acc: 0.5439
Epoch 1550 | Train Loss: 0.9104 | Train Acc: 0.6711 | Val Loss: 1.3651 | Val Acc: 0.5433
Epoch 1575 | Train Loss: 0.9188 | Train Acc: 0.6571 | Val Loss: 1.3685 | Val Acc: 0.5463
Epoch 1600 | Train Loss: 0.9077 | Train Acc: 0.6434 | Val Loss: 1.3697 | Val Acc: 0.5535
Epoch 1625 | Train Loss: 0.9020 | Train Acc: 0.6591 | Val Loss: 1.3717 | Val Acc: 0.5511
Epoch 1650 | Train Loss: 0.8860 | Train Acc: 0.6607 | Val Loss: 1.3747 | Val Acc: 0.5553
Epoch 1675 | Train Loss: 0.8887 | Train Acc: 0.6663 | Val Loss: 1.3764 | Val Acc: 0.5511
Epoch 1700 | Train Loss: 0.8869 | Train Acc: 0.6739 | Val Loss: 1.3776 | Val Acc: 0.5541
Epoch 1725 | Train Loss: 0.8905 | Train Acc: 0.6619 | Val Loss: 1.3782 | Val Acc: 0.5595
Epoch 1750 | Train Loss: 0.8844 | Train Acc: 0.6691 | Val Loss: 1.3831 | Val Acc: 0.5637
Epoch 1775 | Train Loss: 0.8731 | Train Acc: 0.6807 | Val Loss: 1.3841 | Val Acc: 0.5643
Epoch 1800 | Train Loss: 0.8800 | Train Acc: 0.6619 | Val Loss: 1.3850 | Val Acc: 0.5661
Epoch 1825 | Train Loss: 0.8951 | Train Acc: 0.6518 | Val Loss: 1.3887 | Val Acc: 0.5643
