Done loading data from cached files.
Training model with 2 layers, lr=0.001, hidden_dim=16, num_heads=[4, 8, 16], dropout=0.5
Training GAT with 4 heads
Epoch 1325 | Train Loss: 0.4344 | Train Acc: 0.8373 | Val Loss: 1.4968 | Val Acc: 0.5781
Epoch 1350 | Train Loss: 0.4450 | Train Acc: 0.8337 | Val Loss: 1.5012 | Val Acc: 0.5793
Epoch 1375 | Train Loss: 0.4387 | Train Acc: 0.8325 | Val Loss: 1.5010 | Val Acc: 0.5781
Epoch 1400 | Train Loss: 0.4308 | Train Acc: 0.8349 | Val Loss: 1.4979 | Val Acc: 0.5781
Epoch 1425 | Train Loss: 0.4403 | Train Acc: 0.8333 | Val Loss: 1.4937 | Val Acc: 0.5811
Epoch 1450 | Train Loss: 0.4314 | Train Acc: 0.8401 | Val Loss: 1.4958 | Val Acc: 0.5769
Epoch 1475 | Train Loss: 0.4528 | Train Acc: 0.8361 | Val Loss: 1.5002 | Val Acc: 0.5799
Epoch 1500 | Train Loss: 0.4404 | Train Acc: 0.8425 | Val Loss: 1.5068 | Val Acc: 0.5817
Epoch 1525 | Train Loss: 0.4233 | Train Acc: 0.8365 | Val Loss: 1.5201 | Val Acc: 0.5859
Epoch 1550 | Train Loss: 0.4422 | Train Acc: 0.8393 | Val Loss: 1.5091 | Val Acc: 0.5805
Epoch 1575 | Train Loss: 0.4535 | Train Acc: 0.8333 | Val Loss: 1.5264 | Val Acc: 0.5853
Epoch 1600 | Train Loss: 0.4062 | Train Acc: 0.8462 | Val Loss: 1.5306 | Val Acc: 0.5817
Epoch 1625 | Train Loss: 0.4200 | Train Acc: 0.8482 | Val Loss: 1.5266 | Val Acc: 0.5793
Epoch 1650 | Train Loss: 0.4039 | Train Acc: 0.8514 | Val Loss: 1.5245 | Val Acc: 0.5829
Epoch 1675 | Train Loss: 0.4134 | Train Acc: 0.8365 | Val Loss: 1.5257 | Val Acc: 0.5847
Epoch 1700 | Train Loss: 0.4401 | Train Acc: 0.8361 | Val Loss: 1.5293 | Val Acc: 0.5841
Epoch 1725 | Train Loss: 0.4262 | Train Acc: 0.8462 | Val Loss: 1.5407 | Val Acc: 0.5859
Epoch 1750 | Train Loss: 0.3952 | Train Acc: 0.8502 | Val Loss: 1.5362 | Val Acc: 0.5865
Epoch 1775 | Train Loss: 0.4292 | Train Acc: 0.8389 | Val Loss: 1.5430 | Val Acc: 0.5871
Epoch 1800 | Train Loss: 0.4415 | Train Acc: 0.8393 | Val Loss: 1.5370 | Val Acc: 0.5847
Epoch 1825 | Train Loss: 0.4277 | Train Acc: 0.8554 | Val Loss: 1.5433 | Val Acc: 0.5877
Epoch 1850 | Train Loss: 0.4211 | Train Acc: 0.8498 | Val Loss: 1.5474 | Val Acc: 0.5919
Epoch 1875 | Train Loss: 0.3920 | Train Acc: 0.8514 | Val Loss: 1.5557 | Val Acc: 0.5901
